feature,world_model_mae,persistence_mae,world_model_mse,persistence_mse,relative_change_mae
flow_count,1.1734,0.384,2.5581,0.7699,2.0558
total_src_bytes,0.7521,0.2639,0.8494,0.2032,1.8495
total_dst_bytes,0.5659,0.0976,0.6042,0.0234,4.7967
total_packets,0.6424,0.0996,0.8668,0.042,5.4479
mean_duration,3.8199,2.8902,43.1423,24.4553,0.3217
mean_flow_bytes,1.5861,0.5505,4.3949,0.9379,1.8812
mean_flow_packets,1.8104,0.5423,5.4638,1.0304,2.3384
mean_sttl,1.1599,0.955,2.6108,2.5588,0.2146
mean_dttl,3.0477,0.886,13.7633,3.2824,2.4399
mean_swin,5.2574,1.1089,58.0577,7.6585,3.7412
mean_dwin,4.9093,1.1042,50.1243,7.5942,3.4459
mean_iat,18.48,14.2495,1148.6064,621.2317,0.2969
unique_src_ports,4.5671,1.5611,35.8829,13.7843,1.9256
unique_dst_ports,4.2092,0.6368,28.843,2.0137,5.6103
proto_tcp_count,0.9259,0.3733,1.4302,0.825,1.4801
proto_udp_count,2.0066,0.4138,6.425,0.5014,3.8491
proto_other_count,0.3949,0.0572,0.1966,0.011,5.9074
packet_count,0.2648,0.0,0.0877,0.0,264820311.0517
mean_packet_size,0.285,0.0,0.1395,0.0,285031862.8664
std_packet_size,0.3255,0.0,0.1803,0.0,325534701.6474
min_packet_size,0.2228,0.0,0.121,0.0,222760490.9712
max_packet_size,0.2163,0.0,0.0532,0.0,216260820.8445
mean_ttl,0.387,0.0,0.2246,0.0,386987349.1712
std_ttl,0.2403,0.0,0.0653,0.0,240310836.5401
min_ttl,0.1321,0.0,0.0244,0.0,132127359.3383
max_ttl,0.2209,0.0,0.057,0.0,220948514.2138
tcp_syn_count,0.1741,0.0,0.0452,0.0,174122728.1539
tcp_ack_count,0.2111,0.0,0.0642,0.0,211056645.1706
tcp_fin_count,0.1289,0.0,0.0329,0.0,128864009.8452
tcp_rst_count,0.3375,0.0,0.1707,0.0,337534788.6538
tcp_psh_count,0.2432,0.0,0.1084,0.0,243215430.9966
tcp_urg_count,0.1615,0.0,0.0471,0.0,161498115.5928
mean_tcp_window,0.2506,0.0,0.114,0.0,250594899.0094
std_tcp_window,0.1237,0.0,0.0246,0.0,123742655.6221
fragment_count,0.0882,0.0,0.0147,0.0,88168568.3104
retransmission_count,0.1826,0.0,0.0665,0.0,182602826.1375
mean_iat,0.1398,0.0,0.0325,0.0,139794376.4155
std_iat,0.0942,0.0,0.0192,0.0,94241682.6334
max_iat,0.1301,0.0,0.0334,0.0,130076984.2515
delta_flow_count,1.158,1.5481,5.8761,10.8877,-0.252
delta_total_bytes,0.4689,0.0853,0.3577,0.0185,4.4957
delta_total_packets,0.6052,0.249,0.6231,0.1816,1.4309
delta_ports,1.9798,2.6186,18.4047,35.7984,-0.244
delta_iat,10.0922,15.7405,310.7269,831.9476,-0.3588
rolling_total_bytes,0.7201,0.0524,0.7727,0.0063,12.7401
